,BIS_LONG_CPI:M:XM:771
2014-02,0.711093
2014-03,0.471888
2014-04,0.713496
2014-05,0.491869
2014-06,0.491327
2014-07,0.372984
2014-08,0.362465
2014-09,0.320641
2014-10,0.38122
2014-11,0.281124
2014-12,-0.170085
2015-01,-0.596985
2015-02,-0.292516
2015-03,-0.069951
2015-04,0.209539
2015-05,0.599341
2015-06,0.498902
2015-07,0.542332
2015-08,0.441413
2015-09,0.19976
2015-10,0.389766
2015-11,0.130156
2015-12,0.250551
2016-01,0.325733
2016-02,-0.121396
2016-03,-0.04
2016-04,-0.258887
2016-05,-0.119154
2016-06,0.049643
2016-07,0.169813
2016-08,0.219736
2016-09,0.398724
2016-10,0.507715
2016-11,0.589941
2016-12,1.09967
2017-01,1.724838
2017-02,1.954826
2017-03,1.530612
2017-04,1.896775
2017-05,1.381847
2017-06,1.29999
2017-07,1.336258
2017-08,1.544748
2017-09,1.558777
2017-10,1.366878
2017-11,1.530815
2017-12,1.344804
2018-01,1.296629
2018-02,1.112656
2018-03,1.399153
2018-04,1.22465
2018-05,1.951363
2018-06,1.969044
2018-07,2.19445
2018-08,2.080675
2018-09,2.082315
2018-10,2.286496
2018-11,1.918935
2018-12,1.5221
2019-01,1.388342
2019-02,1.493417
2019-03,1.399281
2019-04,1.722803
2019-05,1.221506
2019-06,1.268133
2019-07,1.020703
2019-08,1.009518
2019-09,0.833174
2019-10,0.726022
2019-11,0.960615
2019-12,1.326285
2020-01,1.359619
2020-02,1.219748
2020-03,0.747484
2020-04,0.313987
2020-05,0.085519
2020-06,0.265629
2020-07,0.390811
2020-08,-0.171331
2020-09,-0.31342
2020-10,-0.275038
2020-11,-0.285442
2020-12,-0.265579
2021-01,0.910223
2021-02,0.937261
2021-03,1.331685
2021-04,1.621929
2021-05,1.98424
2021-06,1.901788
2021-07,2.164831
2021-08,2.955759
2021-09,3.363186
2021-10,4.051355
2021-11,4.866412
2021-12,4.964337
2022-01,5.108242
2022-02,5.87455
2022-03,7.443913
2022-04,7.438865
2022-05,8.052504
2022-06,8.644383
2022-07,8.866171
2022-08,9.140582
2022-09,9.927182
2022-10,10.620601
2022-11,10.054595
2022-12,9.19634
2023-01,8.644986
2023-02,8.501879
2023-03,6.884501
2023-04,6.958561
2023-05,6.099767
2023-06,5.520896
2023-07,5.309886
2023-08,5.243954
2023-09,4.335066
2023-10,2.900107
2023-11,2.397685
2023-12,2.928974
2024-01,2.76877
2024-02,2.581656
2024-03,2.427661
2024-04,2.37167
2024-05,2.565976
2024-06,2.51883
2024-07,2.577821
2024-08,2.16883
2024-09,1.743952
2024-10,1.999358
2024-11,2.236577
2024-12,2.434502
2025-01,2.524272
2025-02,2.323712
2025-03,2.178597
2025-04,2.165979
2025-05,1.89217
2025-06,1.990836
2025-07,2.038881
2025-08,2.043876
2025-09,2.235387
2025-10,2.101866
2025-11,2.140262
2025-12,1.94381
